feature,importance
Tenure_Years,0.3942232251872436
Tenure_in_Months,0.32370759663846266
Monthly_Charge,0.20587719417691236
Has_Phone_And_Internet,0.03519555843618348
Avg_Monthly_Long_Distance_Charges,0.03330059151541643
Total_Services,0.002212272240789991
Long_Distance_Dependency,0.001167804189523713
Streaming_Services,0.000747595837111743
Monthly_Charge_per_Service,0.0006385698744879053
Is_New_Customer,0.0005049033456097774
Age,0.00031464203871562095
Avg_Monthly_GB_Download,0.0002988278086527947
Internet_Type_Fiber_Optic,0.0002676505592750485
Referrals_per_Tenure_Year,0.00018091803515144408
Premium_Services,0.00017355436496495732
Number_of_Referrals,0.00011705134368358576
Multiple_Lines,0.00011241363684289592
Streaming_TV,9.285147482888831e-05
Number_of_Dependents,7.65195185688571e-05
Paperless_Billing,6.397259966059852e-05
Payment_Method_Credit_Card,5.624643451892197e-05
Premium_Tech_Support,5.5710310704533615e-05
Gender,5.455903657857258e-05
Streaming_Music,5.380549805858651e-05
Online_Security,4.980077340810387e-05
Device_Protection_Plan,4.8076791059408664e-05
Offer_Offer_B,4.333640150041285e-05
Contract_One_Year,4.3239935740092064e-05
Internet_Type_DSL,3.9153609146269866e-05
Streaming_Movies,3.8375621855850015e-05
Online_Backup,3.688975393486337e-05
Contract_Two_Year,3.6599362311145807e-05
Unlimited_Data,3.6248820233631425e-05
Married,3.235733667526719e-05
Senior_Citizen,2.8910955611653677e-05
Offer_Offer_A,2.7513681556479032e-05
Offer_Offer_C,1.3296207130212993e-05
Internet_Type_No_Internet,1.1126546236539397e-05
Payment_Method_Mailed_Check,1.0442236140257207e-05
Offer_Offer_D,6.747454550781743e-06
Phone_Service,1.761355352308763e-06
Internet_Service,1.2494433377702547e-06
Offer_Offer_E,8.396122720430344e-07
