Customer_ID,Cluster,Segment
0002-ORFBO,3,Established Standard Customers
0003-MKNFE,2,New Budget Customers
0004-TLHLJ,3,Established Standard Customers
0011-IGKFF,3,Established Standard Customers
0013-EXCHZ,3,Established Standard Customers
0013-MHZWF,3,Established Standard Customers
0013-SMEOE,1,Loyal Premium Customers
0014-BMAQU,1,Loyal Premium Customers
0015-UOCOJ,3,Established Standard Customers
0016-QLJIS,1,Loyal Premium Customers
0017-DINOC,0,Loyal Budget Customers
0017-IUDMW,1,Loyal Premium Customers
0018-NYROU,3,Established Standard Customers
0019-EFAEP,1,Loyal Premium Customers
0019-GFNTW,1,Loyal Premium Customers
0020-INWCK,1,Loyal Premium Customers
0020-JDNXP,1,Loyal Premium Customers
0021-IKXGC,3,Established Standard Customers
0022-TCJCI,1,Loyal Premium Customers
0023-HGHWL,2,New Budget Customers
0023-UYUPN,0,Loyal Budget Customers
0023-XUOPT,3,Established Standard Customers
0027-KWYKW,3,Established Standard Customers
0030-FNXPP,2,New Budget Customers
0031-PVLZI,2,New Budget Customers
0032-PGELS,2,New Budget Customers
0036-IHMOT,1,Loyal Premium Customers
0040-HALCW,0,Loyal Budget Customers
0042-JVWOJ,2,New Budget Customers
0042-RLHYP,0,Loyal Budget Customers
0048-LUMLS,1,Loyal Premium Customers
0048-PIHNL,0,Loyal Budget Customers
0052-DCKON,1,Loyal Premium Customers
0052-YNYOT,0,Loyal Budget Customers
0056-EPFBG,3,Established Standard Customers
0057-QBUQH,0,Loyal Budget Customers
0058-EVZWM,1,Loyal Premium Customers
0060-FUALY,1,Loyal Premium Customers
0064-SUDOG,2,New Budget Customers
0064-YIJGF,3,Established Standard Customers
0067-DKWBL,3,Established Standard Customers
0068-FIGTF,1,Loyal Premium Customers
0071-NDAFP,2,New Budget Customers
0074-HDKDG,3,Established Standard Customers
0076-LVEPS,3,Established Standard Customers
0078-XZMHT,1,Loyal Premium Customers
0080-EMYVY,3,Established Standard Customers
0080-OROZO,1,Loyal Premium Customers
0082-LDZUE,2,New Budget Customers
0082-OQIQY,3,Established Standard Customers
0083-PIVIK,1,Loyal Premium Customers
0089-IIQKO,1,Loyal Premium Customers
0093-EXYQL,1,Loyal Premium Customers
0093-XWZFY,1,Loyal Premium Customers
0094-OIFMO,3,Established Standard Customers
0096-BXERS,2,New Budget Customers
0096-FCPUF,3,Established Standard Customers
0098-BOWSO,2,New Budget Customers
0100-DUVFC,1,Loyal Premium Customers
0103-CSITQ,1,Loyal Premium Customers
0104-PPXDV,0,Loyal Budget Customers
0106-GHRQR,3,Established Standard Customers
0106-UGRDO,1,Loyal Premium Customers
0107-WESLM,2,New Budget Customers
0107-YHINA,3,Established Standard Customers
0111-KLBQG,1,Loyal Premium Customers
0112-QAWRZ,3,Established Standard Customers
0112-QWPNC,1,Loyal Premium Customers
0114-IGABW,1,Loyal Premium Customers
0114-PEGZZ,1,Loyal Premium Customers
0114-RSRRW,2,New Budget Customers
0115-TFERT,3,Established Standard Customers
0117-LFRMW,0,Loyal Budget Customers
0118-JPNOY,3,Established Standard Customers
0121-SNYRK,0,Loyal Budget Customers
0122-OAHPZ,3,Established Standard Customers
0123-CRBRT,1,Loyal Premium Customers
0125-LZQXK,3,Established Standard Customers
0128-MKWSG,3,Established Standard Customers
0129-KPTWJ,1,Loyal Premium Customers
0129-QMPDR,0,Loyal Budget Customers
0130-SXOUN,1,Loyal Premium Customers
0133-BMFZO,3,Established Standard Customers
0134-XWXCE,1,Loyal Premium Customers
0135-NMXAP,3,Established Standard Customers
0136-IFMYD,1,Loyal Premium Customers
0137-OCGAB,3,Established Standard Customers
0137-UDEUO,2,New Budget Customers
0139-IVFJG,3,Established Standard Customers
0141-YEAYS,3,Established Standard Customers
0142-GVYSN,2,New Budget Customers
0147-ESWWR,1,Loyal Premium Customers
0148-DCDOS,3,Established Standard Customers
0151-ONTOV,3,Established Standard Customers
0156-FVPTA,3,Established Standard Customers
0164-APGRB,1,Loyal Premium Customers
0164-XAIRP,2,New Budget Customers
0168-XZKBB,3,Established Standard Customers
0174-QRVVY,0,Loyal Budget Customers
0177-PXBAT,1,Loyal Premium Customers
0178-CIIKR,2,New Budget Customers
0178-SZBHO,1,Loyal Premium Customers
0181-RITDD,1,Loyal Premium Customers
0186-CAERR,1,Loyal Premium Customers
0187-QSXOE,3,Established Standard Customers
0187-WZNAB,3,Established Standard Customers
0188-GWFLE,2,New Budget Customers
0191-EQUUH,2,New Budget Customers
0191-ZHSKZ,3,Established Standard Customers
0193-ESZXP,1,Loyal Premium Customers
0195-IESCP,3,Established Standard Customers
0196-JTUQI,3,Established Standard Customers
0196-VULGZ,3,Established Standard Customers
0197-PNKNK,1,Loyal Premium Customers
0201-MIBOL,1,Loyal Premium Customers
0201-OAMXR,1,Loyal Premium Customers
0203-HHYIJ,2,New Budget Customers
0206-OYVOC,0,Loyal Budget Customers
0206-TBWLC,1,Loyal Premium Customers
0207-MDKNV,3,Established Standard Customers
0208-BPQEJ,2,New Budget Customers
0212-ISBBF,3,Established Standard Customers
0214-JHPFW,1,Loyal Premium Customers
0215-BQKGS,3,Established Standard Customers
0218-QNVAS,1,Loyal Premium Customers
0219-QAERP,2,New Budget Customers
0219-YTZUE,3,Established Standard Customers
0220-EBGCE,3,Established Standard Customers
0221-NAUXK,2,New Budget Customers
0221-WMXNQ,3,Established Standard Customers
0222-CNVPT,1,Loyal Premium Customers
0224-HJAPT,3,Established Standard Customers
0224-NIJLP,2,New Budget Customers
0224-RLWWD,2,New Budget Customers
0225-ZORZP,3,Established Standard Customers
0228-MAUWC,3,Established Standard Customers
