Customer_ID,Gender,Age,Married,Number_of_Dependents,City,Zip_Code,Latitude,Longitude,Number_of_Referrals,Tenure_in_Months,Offer,Phone_Service,Avg_Monthly_Long_Distance_Charges,Multiple_Lines,Internet_Service,Internet_Type,Avg_Monthly_GB_Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Total_Services,Premium_Services,Streaming_Services,Has_Phone_And_Internet,Monthly_Charge_per_Service,Tenure_Years,Referrals_per_Tenure_Year,Long_Distance_Dependency,Is_New_Customer,Senior_Citizen,Offer_Offer_A,Offer_Offer_B,Offer_Offer_C,Offer_Offer_D,Offer_Offer_E,Internet_Type_DSL,Internet_Type_Fiber_Optic,Internet_Type_No_Internet,Contract_One_Year,Contract_Two_Year,Payment_Method_Credit_Card,Payment_Method_Mailed_Check,Customer_Status,Churn_Category,Churn_Reason
0002-ORFBO,0,37,1,0,Frazier Park,93225,34.827662,-118.999073,2,9,No Offer,1,42.39,0,1,Cable,16.0,0,1,0,1,1,0,0,1,One Year,1,Credit Card,65.6,593.3,0.0,0,381.51,974.81,6,2,1,1,10.933333333333332,0.75,2.6666666666666665,0.3925363459579591,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Stayed,No Churn,No Churn
0003-MKNFE,1,46,0,0,Glendale,91206,34.162515,-118.203869,0,9,No Offer,1,10.69,1,1,Cable,10.0,0,0,0,0,0,1,1,0,Month-to-Month,0,Credit Card,-4.0,542.4,38.33,10,96.21,610.28,4,0,2,1,-1.0,0.75,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Stayed,No Churn,No Churn
0004-TLHLJ,1,50,0,0,Costa Mesa,92627,33.645672,-117.922613,0,4,Offer E,1,33.65,0,1,Fiber Optic,30.0,0,0,1,0,0,0,0,1,Month-to-Month,1,Bank Withdrawal,73.9,280.85,0.0,0,134.6,415.45,4,1,0,1,18.475,0.3333333333333333,0.0,0.3128777312877731,1,0,0,0,0,0,1,0,1,0,0,0,0,0,Churned,Competitor,Competitor had better devices
0011-IGKFF,1,78,1,0,Martinez,94553,38.014457,-122.115432,1,13,Offer D,1,27.82,0,1,Fiber Optic,4.0,0,1,1,0,1,1,0,1,Month-to-Month,1,Bank Withdrawal,98.0,1237.85,0.0,0,361.66,1599.51,7,2,2,1,14.0,1.0833333333333333,0.9230769230769231,0.2211095215387061,0,1,0,0,0,1,0,0,1,0,0,0,0,0,Churned,Dissatisfaction,Product dissatisfaction
0013-EXCHZ,0,75,1,0,Camarillo,93010,34.227846,-119.079903,3,3,No Offer,1,7.38,0,1,Fiber Optic,11.0,0,0,0,1,1,0,0,1,Month-to-Month,1,Credit Card,83.9,267.4,0.0,0,22.14,289.54,5,1,1,1,16.78,0.25,12.0,0.08085013146362839,1,1,0,0,0,0,0,0,1,0,0,0,1,0,Churned,Dissatisfaction,Network reliability
0013-MHZWF,0,23,0,3,Midpines,95345,37.581496,-119.972762,0,9,Offer E,1,16.77,0,1,Cable,73.0,0,0,0,1,1,1,1,1,Month-to-Month,1,Credit Card,69.4,571.45,0.0,0,150.93,722.38,7,1,3,1,9.914285714285715,0.75,0.0,0.19461529534640826,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Stayed,No Churn,No Churn
0013-SMEOE,0,67,1,0,Lompoc,93437,34.757477,-120.550507,1,71,Offer A,1,9.96,0,1,Fiber Optic,14.0,1,1,1,1,1,1,1,1,Two Year,1,Bank Withdrawal,109.7,7904.25,0.0,0,707.16,8611.41,10,4,3,1,10.97,5.916666666666667,0.16901408450704225,0.08323583486545212,0,1,1,0,0,0,0,0,1,0,0,1,0,0,Stayed,No Churn,No Churn
0014-BMAQU,1,52,1,0,Napa,94558,38.489789,-122.27011,8,63,Offer B,1,12.96,1,1,Fiber Optic,7.0,1,0,0,1,0,0,0,0,Two Year,1,Credit Card,84.65,5377.8,0.0,20,816.48,6214.28,4,2,0,1,21.1625,5.25,1.5238095238095237,0.13277328142608338,0,0,0,1,0,0,0,0,1,0,0,1,1,0,Stayed,No Churn,No Churn
0015-UOCOJ,0,68,0,0,Simi Valley,93063,34.296813,-118.685703,0,7,Offer E,1,10.53,0,1,DSL,21.0,1,0,0,0,0,0,0,1,Two Year,1,Bank Withdrawal,48.2,340.35,0.0,0,73.71,414.06,4,1,0,1,12.05,0.5833333333333334,0.0,0.17929507917588963,0,1,0,0,0,0,1,1,0,0,0,1,0,0,Stayed,No Churn,No Churn
0016-QLJIS,0,43,1,1,Sheridan,95681,38.984756,-121.345074,3,65,No Offer,1,28.46,1,1,Cable,14.0,1,1,1,1,1,1,1,1,Two Year,1,Credit Card,90.45,5957.9,0.0,0,1849.9,7807.8,10,4,3,1,9.045,5.416666666666667,0.5538461538461538,0.23934067782356405,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Stayed,No Churn,No Churn
